Feature,CASE Median,CTRL Median,Cluster Number,P Val,Bonferroni P-Values
150Nd_CD43,5.03844812528889,4.94236740726736,7,0.22230132900568927,1.0
175Lu_PD-1,0.163590095989525,0.177781420108746,1,0.13034996259302434,1.0
148Nd_PD-L1,0.892280188385942,0.979108493785912,7,0.28460741749350454,1.0
147Sm_CD11c,1.46328205546173,1.4703865426082001,8,0.13420337633695306,1.0
147Sm_CD11c,1.18856348187924,1.02559777904817,7,0.126308325224453,1.0
160Gd_CD200R,1.32392444097496,1.69525450423219,7,0.027115159677535902,1.0
144Nd_CD11b,1.14874226096293,1.122068259945195,8,0.04780295564429017,1.0
172Yb_IgM,0.277843407560384,0.41495472425768,7,0.10273262999446758,1.0
171Yb_CD20,0.517706185603604,0.481159962529997,7,0.3431987155461296,1.0
173Yb_CD137,0.0,0.0,7,0.2540034521558999,1.0
169Tm_CD24,1.48589953352746,1.4827866541019,7,0.4477223359224266,1.0
168Er_OX40L,0.16655388761408,0.149201216535235,7,0.1428620731350334,1.0
167Er_CD27,2.68710425584695,2.64604508514887,7,0.3653188083279528,1.0
175Lu_PD-1,0.296716923439611,0.503723836756872,7,0.11500668818401005,1.0
176Yb_CD56,0.306752557866897,0.428373851828085,7,0.22560037205489997,1.0
143Nd_CD123,0.593971037656271,0.5939871184249226,8,0.24349249369069637,1.0
209Bi_CD16,0.196928092436771,0.242779967207422,7,0.35700013872424113,1.0
141Pr_CD70,0.0,0.0,8,0.24860201241491192,1.0
166Er_SIGLEC_10,1.94902147950637,1.80639280979715,7,0.07624555484529741,1.0
165Ho_CD40,1.04620546145376,1.04191194649785,7,0.35183303622874573,1.0
164Dy_GITRL,0.0,0.0,7,0.352883397811707,1.0
163Dy_CD95L,0.0,0.0,7,0.3019512660926237,1.0
162Dy_CD80,0.0748827960789943,0.025715765155767,7,0.3366527395652227,1.0
89Y_CD45,5.1886474537485,5.19183599873431,7,0.332462608603281,1.0
170Er_CD3,1.25806005395508,0.877474865589766,7,0.0040800183175111575,1.0
150Nd_CD43,4.595880107723675,4.61975385760389,3,0.1151311776586793,1.0
151Eu_CD14,0.433158981260793,0.4371801797430155,8,0.46083138943350593,1.0
148Nd_PD-L1,0.9969335436186825,0.878148344648736,9,0.39340687426468923,1.0
151Eu_CD14,0.3360927485347285,0.35313455606968,9,0.3669794815726004,1.0
152Sm_CD95,0.8995946952469864,1.02427537802085,9,0.09322633115582757,1.0
153Eu_TIM-3,0.0,0.0,9,0.21473374757799424,1.0
152Sm_CD95,0.974547880714833,1.01126694092489,1,0.28312362088152465,1.0
156Gd_CD86,1.01822140009763,0.798104117038875,9,0.06412272775491851,1.0
158Gd_CD137L,0.0,0.0227756314704441,9,0.04723724717456669,1.0
160Gd_CD200R,1.73125144778713,1.70344813181072,9,0.14996634307780676,1.0
162Dy_CD80,0.0,0.0639527954701006,9,0.10430035537073495,1.0
163Dy_CD95L,0.0,0.0,9,0.008634335532414456,1.0
147Sm_CD11c,1.11112670412252,1.06628630926244,9,0.47712504385286036,1.0
164Dy_GITRL,0.0,0.0,9,0.38747013623462984,1.0
166Er_SIGLEC_10,0.9321922197974171,1.09508934137493,9,0.02558883646471043,1.0
167Er_CD27,0.673384053023685,0.843491920189671,9,0.2734156604039954,1.0
168Er_OX40L,0.0,0.0,9,0.4027908272250792,1.0
148Nd_PD-L1,0.7561864403876615,0.817480611742762,1,0.0079750252919667,1.0
170Er_CD3,0.9802021721072065,1.17060406248348,9,0.1298569049773638,1.0
146Nd_IgD,0.5373016856231301,0.563370481284013,1,0.14711733833486124,1.0
173Yb_CD137,0.0,0.0,9,0.20566562684854972,1.0
143Nd_CD123,0.2301692940540645,0.247169577317657,1,0.014494553832198276,1.0
175Lu_PD-1,0.202181733615681,0.168289511678861,9,0.4964562844385336,1.0
176Yb_CD56,0.406069028889307,0.435890991278467,9,0.28259377988863377,1.0
149Sm_CD200,0.1150559836005455,0.113715362353604,1,0.3763445475575449,1.0
150Nd_CD43,5.19774942091035,5.2147598526675445,8,0.006365961475542945,1.0
144Nd_CD11b,0.851361108418211,0.789783336375306,9,0.4670431901792739,1.0
155Gd_BAFFR,4.25302241953396,4.28026295358608,1,0.008241247794328572,1.0
153Eu_TIM-3,0.0949986473419387,0.09602714883901564,8,0.42549194976551497,1.0
169Tm_CD24,1.85999631411083,1.95424546232309,1,0.025283312473598597,1.0
156Gd_CD86,1.44721639467723,1.4310343372667051,8,0.14292214600477504,1.0
158Gd_CD137L,0.0,0.0,8,0.32993494137561286,1.0
146Nd_IgD,0.503663596701972,0.289098119682103,7,0.33854849245814667,1.0
160Gd_CD200R,2.0519829780065,2.056017112815915,8,0.4843065838303109,1.0
162Dy_CD80,0.0306266110245206,0.0424589424997559,8,0.09696156750568524,1.0
163Dy_CD95L,0.0,0.0,8,0.26710399391173645,1.0
164Dy_GITRL,0.0,0.0,8,0.11688521789958334,1.0
165Ho_CD40,1.55958833523239,1.5938455941326901,8,0.02111611743919134,1.0
143Nd_CD123,0.4115044982283615,0.559936519169533,9,0.15302875868617194,1.0
167Er_CD27,0.744194292086036,0.726677178588341,8,0.2874047093978115,1.0
164Dy_GITRL,0.0,0.0,1,0.047629591018075706,1.0
170Er_CD3,1.23985438086616,1.228582958641215,8,0.06325146353847305,1.0
163Dy_CD95L,0.0,0.0,1,0.24465081627651614,1.0
162Dy_CD80,0.0,0.0,1,0.151080716983637,1.0
173Yb_CD137,0.0064779148931537,0.0,8,0.026566370157882026,1.0
