Feature,CASE Median,CTRL Median,Cluster Number,P Val,Bonferroni P-Values
195Pt,4.04288194762009,4.27275770602667,2,3.3918531481180857e-38,7.326402799935065e-36
194Pt,3.77132134763952,3.94679762745287,4,2.2404973680749758e-37,4.839474315041948e-35
110Pd,4.6217975626,2.06200523512118,2,1.0150014749655136e-36,2.1924031859255094e-34
198Pt,1.73323169447254,1.95772286855052,4,1.480924948839059e-34,3.1987978894923677e-32
198Pt,2.07457591498775,2.3056261195954,2,2.937146418345801e-32,6.34423626362693e-30
194Pt,4.13079332932441,4.2865745099643,2,2.2424970083834363e-30,4.843793538108222e-28
106Pd,4.55597263428395,2.75930438328724,2,9.178822144302568e-30,1.982625583169355e-27
108Pd,1.7328341105341,2.24621771762281,4,2.4595536446164066e-29,5.312635872371438e-27
194Pt,3.84043429638516,3.98447388077212,3,7.56918921703814e-29,1.6349448708802382e-26
142Ce,2.1772299176626,1.96027225287721,5,1.2461825088807486e-28,2.691754219182417e-26
195Pt,3.7269568292952853,3.87334847751555,3,8.544303322964323e-26,1.8455695177602937e-23
160Dy,1.14634422872317,1.4253570658023,5,1.6509178611615563e-25,3.565982580108962e-23
102Pd,4.9073954177803945,5.00545056900998,3,2.8438683568221156e-24,6.14275565073577e-22
102Pd,5.06871482589446,5.20258313604436,1,1.4647191144616903e-22,3.163793287237251e-20
102Pd,4.97883119430143,5.2619457433195205,6,6.759704971814299e-21,1.4600962739118885e-18
110Pd,3.59637655855443,4.2538381817957,4,1.8283208384192497e-19,3.9491730109855794e-17
105Pd,2.59227187890463,2.75743286163296,1,1.9259907617956668e-18,4.1601400454786403e-16
106Pd,2.24549345349511,2.4909707172229,5,1.6373421975658103e-14,3.5366591467421503e-12
198Pt,1.80761714522475,1.93455572369375,3,1.8144806231206513e-13,3.919278145940607e-11
160Dy,1.76821730406723,1.89413092794943,2,1.862709960450554e-13,4.0234535145731963e-11
142Ce,2.22817241916238,2.1278381261042,2,2.388216468046693e-13,5.158547570980856e-11
142Ce,1.95672578225788,1.88045997825436,4,3.996593140894935e-13,8.63264118433306e-11
104Pd,4.65900545436522,1.93598140158727,9,4.46443934404843e-13,9.643188983144608e-11
104Pd,2.09155964501701,2.28874515070312,4,9.066205174952626e-13,1.9583003177897672e-10
